count,roblas-bench command
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 436 -k 436 --alpha 1 --lda 8192 --stride_a 64 --ldb 436 --stride_b 190096 --beta 0 --ldc 64 --stride_c 27904 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 482 -n 482 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 482 --stride_c 232324 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 443 -k 443 --alpha 1 --lda 8192 --stride_a 64 --ldb 443 --stride_b 196249 --beta 0 --ldc 64 --stride_c 28352 --batch 128
120,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 413 -k 413 --alpha 1 --lda 8192 --stride_a 64 --ldb 413 --stride_b 170569 --beta 0 --ldc 64 --stride_c 26432 --batch 128
120,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 434 -n 434 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 434 --stride_c 188356 --batch 128
120,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 490 -n 490 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 490 --stride_c 240100 --batch 128
120,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 510 -n 510 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 510 --stride_c 260100 --batch 128
120,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 503 -n 503 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 503 --stride_c 253009 --batch 128
120,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 490 -k 490 --alpha 1 --lda 8192 --stride_a 64 --ldb 490 --stride_b 240100 --beta 0 --ldc 64 --stride_c 31360 --batch 128
120,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 4096 -n 3576 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 4096
